python-pyqt6 6.10.2-4
python-pyqt6-sip 13.11.1-1
python-pyqt6-webengine 6.10.0-2
python-pywalfox 2.7.4-1
python-pyxdg 0.28-7
python-screeninfo 0.8.1-2
python-setproctitle 1.3.7-2
python-setuptools 1:82.0.1-1
python-six 1.17.0-3
python-tqdm 4.67.3-1
python-typeguard 4.5.1-1
python-typing-inspection 0.4.2-2
python-typing_extensions 4.15.0-3
python-wheel 0.46.3-1
python-xlib 0.33-6
python-yaml 6.0.3-2
qalculate-gtk 5.9.0-1
qca-qt6 2.3.10-5
qhull 2020.2-5
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-5compat 6.11.0-1
qt6-base 6.11.0-1
qt6-declarative 6.11.0-1
qt6-imageformats 6.11.0-1
qt6-multimedia 6.11.0-1
qt6-multimedia-ffmpeg 6.11.0-1
qt6-positioning 6.11.0-1
qt6-shadertools 6.11.0-1
qt6-svg 6.11.0-2
qt6-translations 6.11.0-1
qt6-virtualkeyboard 6.11.0-1
qt6-wayland 6.11.0-1
qt6-webchannel 6.11.0-1
qt6-webengine 6.11.0-2
qt6ct 0.11-5
raptor 2.0.16-9
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
ripgrep 15.1.0-2
rnnoise 1:0.2-1
rofi 2.0.0-1
rsync 3.4.1-2
rtkit 0.14-1
rtmpdump 1:2.6-1
rubberband 4.0.0-2
run-parts 5.23.2-1
rust 1:1.94.1-1
sbc 2.2-1
scdoc 1.11.4-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl2-compat 2.32.64-1
sdl3 3.4.2-1
seatd 0.9.3-1
sed 4.9-3
semver 7.7.4-1
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
simde 0.8.2-1
simdjson 1:4.4.2-1
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
solid 6.24.0-2
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
sqlite 3.52.0-1
sqlx-cli 0.8.6-2
sratom 0.6.22-1
srt 1.5.4-1
starship 1.24.2-2
startup-notification 0.12-9
stow 2.4.1-1
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
svt-hevc 1.5.1-3
swaync 0.12.6-1
syndication 6.24.0-2
systemd 260.1-1
systemd-libs 260.1-1
systemd-sysvcompat 260.1-1
taglib 2.2.1-1
tar 1.35-2
tdb 1.4.15-1
tesseract 5.5.2-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.2-1
thunar 4.20.8-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
thunarx-python 1:0.5.2-2
thunarx-python-debug 1:0.5.2-2
timeshift 25.12.4-1
timeshift-autosnap 0.10.0-1
tinysparql 3.10.1-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
transmission-cli 4.1.1-1
transmission-qt 4.1.1-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.5.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.8.1-2
tree-sitter-vimdoc 4.0.0-1
tremc 0.9.6-1
tslib 1.24-1
ttf-ancient-fonts 2.60-2
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
tty-clock 2.3-2
tty-clock-debug 2.3-2
tumbler 4.20.1-1
twolame 0.4.0-4
tzdata 2026a-1
uchardet 0.0.8-4
udiskie 2.6.2-1
udisks2 2.11.1-2
